Startup,Location,Sector,Date,Amount (US$),Investors,Stage,Debt/Equity,Female co-founder/CEO?,Local founder?,Intnl founder?,Launched?,Accelerator?,Employees,Funding Year
gnuGrid Africa,Uganda,fintech,January + August,"612,500.00",,Seed,Equity,Yes,Yes,No,2019,No,5,2021
Cassbana,Egypt,fintech,January,"1,400,000.00","Disruptech, Suya Fund",Pre-seed,Equity,No,Yes,No,2020,No,10,2021
Bringy,Egypt,fintech,January,"200,000.00",,Undisclosed,Equity,No,Yes,No,2019,No,5,2021
OZÉ,Ghana,fintech,January,"700,000.00","Anorak Ventures, Matuca Sarl, Rising Tide Africa",Seed,Equity,Yes,No,Yes,2018,Yes,34,2021
Ovex,South Africa,fintech,January,,Alameda Research,Series A,Equity,No,Yes,No,2017,No,14,2021
Lipa Later,Kenya,fintech,January + additional round,,"Lateral Capital, Platform Capital, Uncovered Fund and Musha Ventures (January), Cauris Finance, Greenhouse Capital, Lateral Frontiers VC, SOSV, Sayani Investments, Axian Finance Group (second round)",Bridge,Equity,No,Yes,No,2016,No,32,2021
Cowrywise,Nigeria,fintech,January,"3,000,000.00","Quona Capital, Sahil Lavingia, Tsadik Foundation, angels",Pre-Series A,Equity,No,Yes,No,2017,Yes,96,2021
Koa,Kenya,fintech,January,,DFS Lab,Undisclosed,Equity,Yes,Yes,Yes,2020,Yes,18,2021
Popote,Kenya,fintech,February,,GreenHouse Capital,Undisclosed,Equity,No,Yes,No,2017,No,30,2021
Xend,Nigeria,fintech,February,"500,000.00","NGC Ventures, Hashkey",Undisclosed (strategic),Equity,No,Yes,No,2019,Yes,68,2021
Mortgage Market,South Africa,fintech,February,"687,000.00",IDF Capital,Undisclosed,Equity,No,Yes,No,2019,No,3,2021
Diool,Cameroon,fintech,February,"3,500,000.00","Lundin family, angel investors",Seed,Equity,No,Yes,No,2015,No,6,2021
Deya,Angola,fintech,February,"50,000.00",Angel investors,Pre-seed,Equity,Yes,Yes,No,2017,No,4,2021
Stitch,South Africa,fintech,February + October,"6,000,000.00","firstminute capital, The Raba Partnership, CRE, Village Global, Rally Cap Ventures, Klarna founder Niklas Adalberth (through his fund Norrsken), Venmo founder Iqram Magdon Ismail, Future Africa, founding team members at Plaid, and executives at Coinbase, Revolut, Fast and Paystack (Feb), Tom Blomfield, Co-Founder of Monzo; Matt Robinson, Co-Founder of GoCardless; Emilie Choi, President & COO of Coinbase; and Charlie Delingpole, Founder of ComplyAdvantage (Sept), Musha Ventures",Seed,Equity,Yes,Yes,No,2019,No,15,2021
Raise,Kenya,fintech,February,"25,000.00","Microtraction (February), 500 Startups (August), Launch Africa Ventures",Seed,Equity,No,Yes,No,2018,No,14,2021
ImaliPay,Nigeria,fintech,February,,"TEN13, FINCA Ventures, Optimiser Foundation, Mercy Corps Ventures, Changecom, angels",Pre-seed,Equity,No,Yes,No,2020,No,7,2021
Crowdyvest,Nigeria,fintech,March,,Tope Omotolani,Undisclosed,Equity,Yes,Yes,No,2019,No,20,2021
Adumo,South Africa,fintech,March,"15,000,000.00","IFC, IFC Financial Institutions Growth Fund",Undisclosed,Equity,No,Yes,No,2020,No,5,2021
Flutterwave,Nigeria,fintech,March,"170,000,000.00","Avenir Growth Capital, Tiger Global, DST Global, Early Capital Berrywood, Green Visor Capital, Greycroft Capital, Insight Ventures, PayPal, Salesforce Ventures, Tiger Management, and WorldpayFIS 9yards Capital. ",Series C,Equity,No,Yes,No,2016,No,322,2021
